,PassengerId,Survived
0,904,1
1,905,0
2,906,1
3,907,1
4,908,0
5,909,0
6,910,0
7,911,1
8,912,0
9,913,0
10,914,1
11,915,1
12,916,1
13,917,0
14,918,1
15,919,0
16,920,0
17,921,0
18,922,0
19,923,0
20,924,0
21,925,0
22,926,1
23,927,1
24,928,0
25,929,0
26,930,0
27,931,0
28,932,0
29,933,1
30,934,0
31,935,1
32,936,1
33,937,0
34,938,1
35,939,0
36,940,1
37,941,0
38,942,0
39,943,0
40,944,1
41,945,1
42,946,0
43,947,0
44,948,0
45,949,0
46,950,0
47,951,1
48,952,0
49,953,0
50,954,0
51,955,1
52,956,1
53,957,1
54,958,0
55,959,0
56,960,1
57,961,1
58,962,1
59,963,0
60,964,0
61,965,1
62,966,1
63,967,1
64,968,0
65,969,1
66,970,0
67,971,1
68,972,1
69,973,1
70,974,0
71,975,0
72,976,0
73,977,0
74,978,1
75,979,0
76,980,1
77,981,1
78,982,0
79,983,0
80,984,1
81,985,0
82,986,0
83,987,0
84,988,1
85,989,0
86,990,0
87,991,0
88,992,1
89,993,0
90,994,0
91,995,0
92,996,1
93,997,0
94,998,0
95,999,0
96,1000,0
97,1001,0
98,1002,0
99,1003,1
100,1004,1
101,1005,0
102,1006,1
103,1007,0
104,1008,0
105,1009,1
106,1010,1
107,1011,1
108,1012,1
109,1013,0
110,1014,1
111,1015,0
112,1016,0
113,1017,1
114,1018,0
115,1019,0
116,1020,0
117,1021,0
118,1022,0
119,1023,1
120,1024,0
121,1025,0
122,1026,0
123,1027,0
124,1028,0
125,1029,0
126,1030,0
127,1031,0
128,1032,0
129,1033,1
130,1034,1
131,1035,0
132,1036,1
133,1037,0
134,1038,0
135,1039,0
136,1040,0
137,1041,0
138,1042,1
139,1043,0
140,1044,0
141,1045,1
142,1046,0
143,1047,0
144,1048,1
145,1049,0
146,1050,1
147,1051,0
148,1052,1
149,1053,1
150,1054,1
151,1055,0
152,1056,0
153,1057,0
154,1058,1
155,1059,0
156,1060,1
157,1061,0
158,1062,0
159,1063,0
160,1064,0
161,1065,0
162,1066,0
163,1067,1
164,1068,1
165,1069,1
166,1070,1
167,1071,1
168,1072,0
169,1073,1
170,1074,1
171,1075,0
172,1076,1
173,1077,0
174,1078,1
175,1079,0
176,1080,0
177,1081,0
178,1082,0
179,1083,0
180,1084,0
181,1085,0
182,1086,1
183,1087,0
184,1088,1
185,1089,0
186,1090,0
187,1091,0
188,1092,1
189,1093,1
190,1094,1
191,1095,1
192,1096,0
193,1097,0
194,1098,1
195,1099,0
196,1100,1
197,1101,0
198,1102,0
199,1103,0
200,1104,0
201,1105,1
202,1106,0
203,1107,0
204,1108,1
205,1109,0
206,1110,1
207,1111,0
208,1112,1
209,1113,0
210,1114,1
211,1115,0
212,1116,1
213,1117,0
214,1118,0
215,1119,1
216,1120,0
217,1121,0
218,1122,0
219,1123,1
220,1124,0
221,1125,0
222,1126,1
223,1127,0
224,1128,1
225,1129,0
226,1130,1
227,1131,1
228,1132,1
229,1133,1
230,1134,0
231,1135,0
232,1136,0
233,1137,1
234,1138,1
235,1139,0
236,1140,1
237,1141,0
238,1142,1
239,1143,0
240,1144,1
241,1145,0
242,1146,0
243,1147,0
244,1148,0
245,1149,0
246,1150,1
247,1151,0
248,1152,0
249,1153,0
250,1154,1
251,1155,1
252,1156,0
253,1157,0
254,1158,0
255,1159,0
256,1160,0
257,1161,0
258,1162,1
259,1163,0
260,1164,1
261,1165,1
262,1166,0
263,1167,1
264,1168,0
265,1169,0
266,1170,0
267,1171,0
268,1172,0
269,1173,1
270,1174,1
271,1175,0
272,1176,0
273,1177,0
274,1178,0
275,1179,0
276,1180,0
277,1181,0
278,1182,0
279,1183,1
280,1184,0
281,1185,0
282,1186,0
283,1187,0
284,1188,1
285,1189,1
286,1190,0
287,1191,0
288,1192,0
289,1193,0
290,1194,0
291,1195,0
292,1196,1
293,1197,1
294,1198,1
295,1199,1
296,1200,0
297,1201,0
298,1202,0
299,1203,0
300,1204,0
301,1205,1
302,1206,1
303,1207,1
304,1208,1
305,1209,0
306,1210,0
307,1211,0
308,1212,0
309,1213,0
310,1214,0
311,1215,1
312,1216,1
313,1217,0
314,1218,1
315,1219,1
316,1220,0
317,1221,0
318,1222,1
319,1223,1
320,1224,0
321,1225,1
322,1226,0
323,1227,0
324,1228,0
325,1229,0
326,1230,0
327,1231,0
328,1232,0
329,1233,0
330,1234,0
331,1235,1
332,1236,0
333,1237,0
334,1238,0
335,1239,1
336,1240,0
337,1241,1
338,1242,1
339,1243,0
340,1244,0
341,1245,0
342,1246,0
343,1247,0
344,1248,1
345,1249,0
346,1250,0
347,1251,0
348,1252,0
349,1253,1
350,1254,1
351,1255,0
352,1256,1
353,1257,0
354,1258,0
355,1259,0
356,1260,1
357,1261,0
358,1262,0
359,1263,1
360,1264,0
361,1265,0
362,1266,1
363,1267,1
364,1268,0
365,1269,0
366,1270,0
367,1271,0
368,1272,0
369,1273,0
370,1274,0
371,1275,0
372,1276,0
373,1277,1
374,1278,0
375,1279,0
376,1280,0
377,1281,0
378,1282,0
379,1283,1
380,1284,0
381,1285,0
382,1286,0
383,1287,1
384,1288,0
385,1289,1
386,1290,0
387,1291,0
388,1292,1
389,1293,0
390,1294,1
391,1295,0
392,1296,1
393,1297,1
394,1298,0
395,1299,1
396,1300,1
397,1301,1
398,1302,1
399,1303,1
400,1304,1
401,1305,0
402,1306,1
403,1307,0
404,1308,0
405,1309,0
